/usr/bin/ansible-playbook -v -i envs/rnp/prod/hosts -l mconf-live110 setup.yml -T 180

live-cdcrec01.mconf.rnp.br: 49 OK, 17 changed, 0 unreachable, 0 failed
live-cdcrec02.mconf.rnp.br: 49 OK, 17 changed, 0 unreachable, 0 failed
live-cdcrec03.mconf.rnp.br: 49 OK, 17 changed, 0 unreachable, 0 failed
live-cdcrec04.mconf.rnp.br: 49 OK, 17 changed, 0 unreachable, 0 failed
live-es01.mconf.rnp.br: 49 OK, 17 changed, 0 unreachable, 0 failed
live-pa01.mconf.rnp.br: 49 OK, 17 changed, 0 unreachable, 0 failed
live-pi01.mconf.rnp.br: 49 OK, 17 changed, 0 unreachable, 0 failed
live-rj01.mconf.rnp.br: 49 OK, 17 changed, 0 unreachable, 0 failed
live-rn01.mconf.rnp.br: 49 OK, 17 changed, 0 unreachable, 0 failed
live-rs01.mconf.rnp.br: 49 OK, 17 changed, 0 unreachable, 0 failed
live-usp01.mconf.rnp.br: 49 OK, 17 changed, 0 unreachable, 0 failed
live-usp02.mconf.rnp.br: 49 OK, 17 changed, 0 unreachable, 0 failed
live-usp03.mconf.rnp.br: 49 OK, 17 changed, 0 unreachable, 0 failed
live-usp04.mconf.rnp.br: 49 OK, 17 changed, 0 unreachable, 0 failed
live-usp05.mconf.rnp.br: 49 OK, 17 changed, 0 unreachable, 0 failed
live-usp06.mconf.rnp.br: 49 OK, 17 changed, 0 unreachable, 0 failed
live-usp07.mconf.rnp.br: 49 OK, 37 changed, 0 unreachable, 0 failed
live-usp08.mconf.rnp.br: 49 OK, 37 changed, 0 unreachable, 0 failed
live-usp09.mconf.rnp.br: 49 OK, 17 changed, 0 unreachable, 0 failed
live-usp10.mconf.rnp.br: 49 OK, 17 changed, 0 unreachable, 0 failed
