/usr/bin/ansible-playbook -i envs/prod/tjrr/hosts playbooks/ssh-port.yml

aer-vc.tjrr.jus.br: 9 OK, 0 changed, 0 unreachable, 0 failed
bfi-vc.tjrr.jus.br: 9 OK, 0 changed, 0 unreachable, 0 failed
ckr-vc.tjrr.jus.br: 9 OK, 0 changed, 0 unreachable, 0 failed
db-vc.tjrr.jus.br: 10 OK, 4 changed, 0 unreachable, 0 failed
fcr-vc.tjrr.jus.br: 9 OK, 0 changed, 0 unreachable, 0 failed
fcv-vc.tjrr.jus.br: 9 OK, 0 changed, 0 unreachable, 0 failed
lb-vc.tjrr.jus.br: 10 OK, 4 changed, 0 unreachable, 0 failed
live01-vc.tjrr.jus.br: 8 OK, 0 changed, 0 unreachable, 0 failed
live02-vc.tjrr.jus.br: 10 OK, 4 changed, 0 unreachable, 0 failed
live03-vc.tjrr.jus.br: 10 OK, 4 changed, 0 unreachable, 0 failed
live04-vc.tjrr.jus.br: 10 OK, 4 changed, 0 unreachable, 0 failed
mji-vc.tjrr.jus.br: 9 OK, 0 changed, 0 unreachable, 0 failed
monit-vc.tjrr.jus.br: 10 OK, 4 changed, 0 unreachable, 0 failed
pac-vc.tjrr.jus.br: 9 OK, 0 changed, 0 unreachable, 0 failed
pjs-vc.tjrr.jus.br: 9 OK, 0 changed, 0 unreachable, 0 failed
rec-vc.tjrr.jus.br: 10 OK, 4 changed, 0 unreachable, 0 failed
recw01-vc.tjrr.jus.br: 10 OK, 4 changed, 0 unreachable, 0 failed
recw02-vc.tjrr.jus.br: 10 OK, 4 changed, 0 unreachable, 0 failed
rli-vc.tjrr.jus.br: 9 OK, 0 changed, 0 unreachable, 0 failed
sip-vc.tjrr.jus.br: 10 OK, 4 changed, 0 unreachable, 0 failed
slz-vc.tjrr.jus.br: 9 OK, 0 changed, 0 unreachable, 0 failed
stun01-vc.tjrr.jus.br: 10 OK, 4 changed, 0 unreachable, 0 failed
stun02-vc.tjrr.jus.br: 10 OK, 4 changed, 0 unreachable, 0 failed
vij-vc.tjrr.jus.br: 9 OK, 0 changed, 0 unreachable, 0 failed
