/usr/bin/ansible-playbook -v -i envs/rnp/prod/hosts -l coturn,live-to-update,mconf-live220 provision.yml -T 180 --force-handlers

live-ac01.mconf.rnp.br: 219 OK, 70 changed, 0 unreachable, 0 failed
live-al01.mconf.rnp.br: 219 OK, 70 changed, 0 unreachable, 0 failed
live-cdcrec01.mconf.rnp.br: 221 OK, 77 changed, 0 unreachable, 0 failed
live-cdcrec02.mconf.rnp.br: 221 OK, 77 changed, 0 unreachable, 0 failed
live-cdcrec03.mconf.rnp.br: 221 OK, 77 changed, 0 unreachable, 0 failed
live-cdcrec04.mconf.rnp.br: 221 OK, 77 changed, 0 unreachable, 0 failed
live-cdcrec05.mconf.rnp.br: 219 OK, 70 changed, 0 unreachable, 0 failed
live-cdcrec06.mconf.rnp.br: 219 OK, 70 changed, 0 unreachable, 0 failed
live-cdcrec07.mconf.rnp.br: 219 OK, 70 changed, 0 unreachable, 0 failed
live-cdcrec08.mconf.rnp.br: 219 OK, 70 changed, 0 unreachable, 0 failed
live-cdcrec09.mconf.rnp.br: 219 OK, 70 changed, 0 unreachable, 0 failed
live-cdcrec10.mconf.rnp.br: 219 OK, 70 changed, 0 unreachable, 0 failed
live-cdcrec11.mconf.rnp.br: 219 OK, 70 changed, 0 unreachable, 0 failed
live-cdcrec12.mconf.rnp.br: 256 OK, 64 changed, 0 unreachable, 0 failed
live-cdcrec13.mconf.rnp.br: 256 OK, 64 changed, 0 unreachable, 0 failed
live-cdcrec14.mconf.rnp.br: 256 OK, 64 changed, 0 unreachable, 0 failed
live-cdcrec15.mconf.rnp.br: 256 OK, 64 changed, 0 unreachable, 0 failed
live-cdcrec16.mconf.rnp.br: 211 OK, 53 changed, 0 unreachable, 1 failed
live-cdcrec17.mconf.rnp.br: 256 OK, 64 changed, 0 unreachable, 0 failed
live-cdcrec18.mconf.rnp.br: 256 OK, 66 changed, 0 unreachable, 0 failed
live-ce01.mconf.rnp.br: 219 OK, 70 changed, 0 unreachable, 0 failed
live-es01.mconf.rnp.br: 219 OK, 73 changed, 0 unreachable, 0 failed
live-ma01.mconf.rnp.br: 219 OK, 70 changed, 0 unreachable, 0 failed
live-ms01.mconf.rnp.br: 219 OK, 70 changed, 0 unreachable, 0 failed
live-mt01.mconf.rnp.br: 219 OK, 70 changed, 0 unreachable, 0 failed
live-pa01.mconf.rnp.br: 221 OK, 76 changed, 0 unreachable, 0 failed
live-pb01.mconf.rnp.br: 219 OK, 70 changed, 0 unreachable, 0 failed
live-pe01.mconf.rnp.br: 220 OK, 72 changed, 0 unreachable, 0 failed
live-pi01.mconf.rnp.br: 221 OK, 77 changed, 0 unreachable, 0 failed
live-rj01.mconf.rnp.br: 221 OK, 77 changed, 0 unreachable, 0 failed
live-rn01.mconf.rnp.br: 221 OK, 77 changed, 0 unreachable, 0 failed
live-rs01.mconf.rnp.br: 221 OK, 77 changed, 0 unreachable, 0 failed
live-sc01.mconf.rnp.br: 219 OK, 70 changed, 0 unreachable, 0 failed
live-to01.mconf.rnp.br: 219 OK, 70 changed, 0 unreachable, 0 failed
live-usp01.mconf.rnp.br: 221 OK, 77 changed, 0 unreachable, 0 failed
live-usp07.mconf.rnp.br: 9 OK, 4 changed, 0 unreachable, 1 failed
live-usp08.mconf.rnp.br: 9 OK, 4 changed, 0 unreachable, 1 failed
live-usp09.mconf.rnp.br: 221 OK, 76 changed, 0 unreachable, 0 failed
stun01.mconf.rnp.br: 34 OK, 17 changed, 0 unreachable, 0 failed
stun02.mconf.rnp.br: 34 OK, 16 changed, 0 unreachable, 0 failed
