/usr/bin/ansible-playbook -v -i envs/prod/tjrr/hosts -l mconf-live200 provision.yml -T 180 --force-handlers

aer-vc.tjrr.jus.br: 1 OK, 0 changed, 0 unreachable, 1 failed
bfi-vc.tjrr.jus.br: 1 OK, 0 changed, 0 unreachable, 1 failed
ckr-vc.tjrr.jus.br: 1 OK, 0 changed, 0 unreachable, 1 failed
fcr-vc.tjrr.jus.br: 249 OK, 68 changed, 0 unreachable, 0 failed
fcv-vc.tjrr.jus.br: 249 OK, 70 changed, 0 unreachable, 0 failed
live01-vc.tjrr.jus.br: 250 OK, 68 changed, 0 unreachable, 0 failed
live02-vc.tjrr.jus.br: 250 OK, 68 changed, 0 unreachable, 0 failed
live03-vc.tjrr.jus.br: 250 OK, 68 changed, 0 unreachable, 0 failed
live04-vc.tjrr.jus.br: 249 OK, 67 changed, 0 unreachable, 0 failed
mji-vc.tjrr.jus.br: 1 OK, 0 changed, 0 unreachable, 1 failed
pac-vc.tjrr.jus.br: 249 OK, 71 changed, 0 unreachable, 0 failed
pjs-vc.tjrr.jus.br: 249 OK, 71 changed, 0 unreachable, 0 failed
rli-vc.tjrr.jus.br: 1 OK, 0 changed, 0 unreachable, 1 failed
slz-vc.tjrr.jus.br: 1 OK, 0 changed, 0 unreachable, 1 failed
vij-vc.tjrr.jus.br: 260 OK, 105 changed, 0 unreachable, 0 failed
