/usr/bin/ansible-playbook -v -i envs/rnp/prod/hosts -l mconf-rec,mconf-recw provision.yml -T 180 --force-handlers

rec-ifg01.mconf.rnp.br: 254 OK, 71 changed, 0 unreachable, 0 failed
rec-ifsp01.mconf.rnp.br: 252 OK, 71 changed, 0 unreachable, 0 failed
rec-uepg01.mconf.rnp.br: 259 OK, 72 changed, 0 unreachable, 0 failed
rec-ufg01.mconf.rnp.br: 253 OK, 71 changed, 0 unreachable, 0 failed
rec-ufsc01.mconf.rnp.br: 255 OK, 71 changed, 0 unreachable, 0 failed
rec01.mconf.rnp.br: 71 OK, 19 changed, 0 unreachable, 1 failed
recw01-p.mconf.rnp.br: 60 OK, 19 changed, 0 unreachable, 1 failed
recw02-p.mconf.rnp.br: 60 OK, 19 changed, 0 unreachable, 1 failed
recw03-p.mconf.rnp.br: 60 OK, 19 changed, 0 unreachable, 1 failed
recw04-p.mconf.rnp.br: 60 OK, 19 changed, 0 unreachable, 1 failed
recw05-p.mconf.rnp.br: 60 OK, 19 changed, 0 unreachable, 1 failed
recw06-p.mconf.rnp.br: 60 OK, 19 changed, 0 unreachable, 1 failed
