/usr/bin/ansible-playbook -v -i envs/rnp/prod/hosts -l mconf-live220 provision.yml -T 180 --force-handlers

live-ac01.mconf.rnp.br: 233 OK, 56 changed, 0 unreachable, 0 failed
live-al01.mconf.rnp.br: 233 OK, 56 changed, 0 unreachable, 0 failed
live-cdcrec12.mconf.rnp.br: 232 OK, 54 changed, 0 unreachable, 0 failed
live-cdcrec13.mconf.rnp.br: 232 OK, 54 changed, 0 unreachable, 0 failed
live-cdcrec14.mconf.rnp.br: 232 OK, 54 changed, 0 unreachable, 0 failed
live-cdcrec15.mconf.rnp.br: 232 OK, 54 changed, 0 unreachable, 0 failed
live-cdcrec16.mconf.rnp.br: 232 OK, 54 changed, 0 unreachable, 0 failed
live-cdcrec17.mconf.rnp.br: 232 OK, 54 changed, 0 unreachable, 0 failed
live-cdcrec18.mconf.rnp.br: 232 OK, 54 changed, 0 unreachable, 0 failed
live-es01.mconf.rnp.br: 233 OK, 56 changed, 0 unreachable, 0 failed
live-ma01.mconf.rnp.br: 233 OK, 56 changed, 0 unreachable, 0 failed
live-mt01.mconf.rnp.br: 233 OK, 56 changed, 0 unreachable, 0 failed
live-to01.mconf.rnp.br: 233 OK, 56 changed, 0 unreachable, 0 failed
live-usp07.mconf.rnp.br: 234 OK, 62 changed, 0 unreachable, 0 failed
live-usp08.mconf.rnp.br: 234 OK, 62 changed, 0 unreachable, 0 failed
