/usr/bin/ansible-playbook -v -i envs/rnp/prod/hosts -l mconf-live220 playbooks/ufw-docker.yml

live-ac01.mconf.rnp.br: 3 OK, 3 changed, 0 unreachable, 0 failed
live-al01.mconf.rnp.br: 3 OK, 3 changed, 0 unreachable, 0 failed
live-cdcrec12.mconf.rnp.br: 3 OK, 3 changed, 0 unreachable, 0 failed
live-cdcrec13.mconf.rnp.br: 3 OK, 3 changed, 0 unreachable, 0 failed
live-cdcrec14.mconf.rnp.br: 3 OK, 3 changed, 0 unreachable, 0 failed
live-cdcrec15.mconf.rnp.br: 3 OK, 3 changed, 0 unreachable, 0 failed
live-cdcrec16.mconf.rnp.br: 3 OK, 3 changed, 0 unreachable, 0 failed
live-cdcrec17.mconf.rnp.br: 3 OK, 3 changed, 0 unreachable, 0 failed
live-cdcrec18.mconf.rnp.br: 2 OK, 0 changed, 0 unreachable, 0 failed
live-embrapa-df01.mconf.rnp.br: 3 OK, 3 changed, 0 unreachable, 0 failed
live-embrapa-df02.mconf.rnp.br: 3 OK, 3 changed, 0 unreachable, 0 failed
live-embrapa-df03.mconf.rnp.br: 3 OK, 3 changed, 0 unreachable, 0 failed
live-embrapa-df04.mconf.rnp.br: 3 OK, 3 changed, 0 unreachable, 0 failed
live-embrapa-df05.mconf.rnp.br: 3 OK, 3 changed, 0 unreachable, 0 failed
live-es01.mconf.rnp.br: 3 OK, 3 changed, 0 unreachable, 0 failed
live-ifsc01.mconf.rnp.br: 3 OK, 3 changed, 0 unreachable, 0 failed
live-ifsc02.mconf.rnp.br: 3 OK, 3 changed, 0 unreachable, 0 failed
live-ifsc03.mconf.rnp.br: 3 OK, 3 changed, 0 unreachable, 0 failed
live-ifsc04.mconf.rnp.br: 3 OK, 3 changed, 0 unreachable, 0 failed
live-ma01.mconf.rnp.br: 3 OK, 3 changed, 0 unreachable, 0 failed
live-mt01.mconf.rnp.br: 3 OK, 3 changed, 0 unreachable, 0 failed
live-rs01.mconf.rnp.br: 3 OK, 3 changed, 0 unreachable, 0 failed
live-sc01.mconf.rnp.br: 3 OK, 3 changed, 0 unreachable, 0 failed
live-to01.mconf.rnp.br: 3 OK, 3 changed, 0 unreachable, 0 failed
live-usp02.mconf.rnp.br: 3 OK, 3 changed, 0 unreachable, 0 failed
live-usp07.mconf.rnp.br: 3 OK, 2 changed, 0 unreachable, 0 failed
live-usp08.mconf.rnp.br: 3 OK, 3 changed, 0 unreachable, 0 failed
webinar-esr.mconf.rnp.br: 4 OK, 3 changed, 0 unreachable, 0 failed
