/usr/bin/ansible-playbook -i envs/prod/com/hosts -l mconf-live220 playbooks/kurento-health-monitor.yml

live-do01.elos.vc: 0 OK, 0 changed, 1 unreachable, 0 failed
live-do02.elos.vc: 7 OK, 2 changed, 0 unreachable, 0 failed
live-do03.elos.vc: 7 OK, 2 changed, 0 unreachable, 0 failed
live-do04.elos.vc: 7 OK, 2 changed, 0 unreachable, 0 failed
live-do05.elos.vc: 7 OK, 2 changed, 0 unreachable, 0 failed
live-do06.elos.vc: 7 OK, 2 changed, 0 unreachable, 0 failed
live-do07.elos.app: 7 OK, 2 changed, 0 unreachable, 0 failed
live-do08.elos.app: 7 OK, 2 changed, 0 unreachable, 0 failed
live-do09.elos.app: 7 OK, 3 changed, 0 unreachable, 0 failed
live-do10.elos.app: 7 OK, 2 changed, 0 unreachable, 0 failed
live-do100.elos.app: 7 OK, 3 changed, 0 unreachable, 0 failed
live-do11.elos.app: 7 OK, 2 changed, 0 unreachable, 0 failed
live-do12.elos.app: 7 OK, 2 changed, 0 unreachable, 0 failed
live-do13.elos.app: 7 OK, 2 changed, 0 unreachable, 0 failed
live-do14.elos.app: 7 OK, 2 changed, 0 unreachable, 0 failed
live-do15.elos.app: 7 OK, 2 changed, 0 unreachable, 0 failed
live-do16.elos.app: 7 OK, 2 changed, 0 unreachable, 0 failed
live-do17.elos.app: 7 OK, 2 changed, 0 unreachable, 0 failed
live-do18.elos.app: 7 OK, 2 changed, 0 unreachable, 0 failed
live-do19.elos.app: 7 OK, 2 changed, 0 unreachable, 0 failed
live-do20.elos.app: 7 OK, 2 changed, 0 unreachable, 0 failed
live-do21.elos.app: 7 OK, 2 changed, 0 unreachable, 0 failed
live-do22.elos.app: 7 OK, 2 changed, 0 unreachable, 0 failed
live-do23.elos.app: 7 OK, 2 changed, 0 unreachable, 0 failed
live-do24.elos.app: 7 OK, 2 changed, 0 unreachable, 0 failed
live-do25.elos.app: 7 OK, 2 changed, 0 unreachable, 0 failed
live-do26.elos.app: 7 OK, 2 changed, 0 unreachable, 0 failed
live-do27.elos.app: 7 OK, 2 changed, 0 unreachable, 0 failed
live-do28.elos.app: 7 OK, 2 changed, 0 unreachable, 0 failed
live-do29.elos.app: 7 OK, 2 changed, 0 unreachable, 0 failed
live-do30.elos.app: 7 OK, 2 changed, 0 unreachable, 0 failed
live-do31.elos.app: 7 OK, 2 changed, 0 unreachable, 0 failed
live-do32.elos.app: 7 OK, 2 changed, 0 unreachable, 0 failed
live-do33.elos.app: 7 OK, 2 changed, 0 unreachable, 0 failed
live-do34.elos.app: 7 OK, 2 changed, 0 unreachable, 0 failed
live-do35.elos.app: 7 OK, 2 changed, 0 unreachable, 0 failed
live-do36.elos.app: 7 OK, 2 changed, 0 unreachable, 0 failed
live-do37.elos.app: 7 OK, 3 changed, 0 unreachable, 0 failed
live-do38.elos.app: 7 OK, 3 changed, 0 unreachable, 0 failed
live-do39.elos.app: 7 OK, 3 changed, 0 unreachable, 0 failed
live-do40.elos.app: 7 OK, 3 changed, 0 unreachable, 0 failed
live-do41.elos.app: 7 OK, 3 changed, 0 unreachable, 0 failed
live-do42.elos.app: 7 OK, 3 changed, 0 unreachable, 0 failed
live-do43.elos.app: 7 OK, 3 changed, 0 unreachable, 0 failed
live-do44.elos.app: 7 OK, 3 changed, 0 unreachable, 0 failed
live-do45.elos.app: 7 OK, 3 changed, 0 unreachable, 0 failed
live-do46.elos.app: 7 OK, 3 changed, 0 unreachable, 0 failed
live-do47.elos.app: 7 OK, 3 changed, 0 unreachable, 0 failed
live-do48.elos.app: 7 OK, 3 changed, 0 unreachable, 0 failed
live-do49.elos.app: 7 OK, 3 changed, 0 unreachable, 0 failed
live-do50.elos.app: 7 OK, 3 changed, 0 unreachable, 0 failed
live-do51.elos.app: 7 OK, 3 changed, 0 unreachable, 0 failed
live-do52.elos.app: 7 OK, 3 changed, 0 unreachable, 0 failed
live-do53.elos.app: 7 OK, 3 changed, 0 unreachable, 0 failed
live-do54.elos.app: 7 OK, 3 changed, 0 unreachable, 0 failed
live-do55.elos.app: 7 OK, 3 changed, 0 unreachable, 0 failed
live-do56.elos.app: 7 OK, 3 changed, 0 unreachable, 0 failed
live-do57.elos.app: 7 OK, 3 changed, 0 unreachable, 0 failed
live-do58.elos.app: 7 OK, 3 changed, 0 unreachable, 0 failed
live-do59.elos.app: 7 OK, 3 changed, 0 unreachable, 0 failed
live-do60.elos.app: 7 OK, 3 changed, 0 unreachable, 0 failed
live-do61.elos.app: 7 OK, 3 changed, 0 unreachable, 0 failed
live-do62.elos.app: 7 OK, 3 changed, 0 unreachable, 0 failed
live-do63.elos.app: 7 OK, 3 changed, 0 unreachable, 0 failed
live-do64.elos.app: 7 OK, 3 changed, 0 unreachable, 0 failed
live-do65.elos.app: 7 OK, 3 changed, 0 unreachable, 0 failed
live-do66.elos.app: 7 OK, 3 changed, 0 unreachable, 0 failed
live-do67.elos.app: 7 OK, 3 changed, 0 unreachable, 0 failed
live-do68.elos.app: 7 OK, 3 changed, 0 unreachable, 0 failed
live-do69.elos.app: 7 OK, 3 changed, 0 unreachable, 0 failed
live-do70.elos.app: 7 OK, 3 changed, 0 unreachable, 0 failed
live-do71.elos.app: 7 OK, 3 changed, 0 unreachable, 0 failed
live-do72.elos.app: 7 OK, 3 changed, 0 unreachable, 0 failed
live-do73.elos.app: 7 OK, 3 changed, 0 unreachable, 0 failed
live-do74.elos.app: 7 OK, 3 changed, 0 unreachable, 0 failed
live-do75.elos.app: 7 OK, 3 changed, 0 unreachable, 0 failed
live-do76.elos.app: 7 OK, 3 changed, 0 unreachable, 0 failed
live-do77.elos.app: 7 OK, 3 changed, 0 unreachable, 0 failed
live-do78.elos.app: 7 OK, 3 changed, 0 unreachable, 0 failed
live-do79.elos.app: 7 OK, 3 changed, 0 unreachable, 0 failed
live-do80.elos.app: 7 OK, 3 changed, 0 unreachable, 0 failed
live-do81.elos.app: 7 OK, 3 changed, 0 unreachable, 0 failed
live-do82.elos.app: 7 OK, 3 changed, 0 unreachable, 0 failed
live-do83.elos.app: 7 OK, 3 changed, 0 unreachable, 0 failed
live-do84.elos.app: 7 OK, 3 changed, 0 unreachable, 0 failed
live-do85.elos.app: 7 OK, 3 changed, 0 unreachable, 0 failed
live-do86.elos.app: 7 OK, 3 changed, 0 unreachable, 0 failed
live-do87.elos.app: 7 OK, 3 changed, 0 unreachable, 0 failed
live-do88.elos.app: 7 OK, 3 changed, 0 unreachable, 0 failed
live-do89.elos.app: 7 OK, 3 changed, 0 unreachable, 0 failed
live-do90.elos.app: 7 OK, 3 changed, 0 unreachable, 0 failed
live-do91.elos.app: 7 OK, 3 changed, 0 unreachable, 0 failed
live-do92.elos.app: 7 OK, 3 changed, 0 unreachable, 0 failed
live-do93.elos.app: 7 OK, 3 changed, 0 unreachable, 0 failed
live-do94.elos.app: 7 OK, 3 changed, 0 unreachable, 0 failed
live-do95.elos.app: 7 OK, 3 changed, 0 unreachable, 0 failed
live-do96.elos.app: 7 OK, 3 changed, 0 unreachable, 0 failed
live-do97.elos.app: 7 OK, 3 changed, 0 unreachable, 0 failed
live-do98.elos.app: 7 OK, 3 changed, 0 unreachable, 0 failed
live-do99.elos.app: 7 OK, 3 changed, 0 unreachable, 0 failed
live02.mconf.com: 7 OK, 2 changed, 0 unreachable, 0 failed
live03.mconf.com: 7 OK, 2 changed, 0 unreachable, 0 failed
live04.mconf.com: 7 OK, 2 changed, 0 unreachable, 0 failed
live05.mconf.com: 7 OK, 2 changed, 0 unreachable, 0 failed
video.telemedicine.rocket.chat: 7 OK, 3 changed, 0 unreachable, 0 failed
