/usr/bin/ansible-playbook -i envs/rnp/prod/hosts -l mconf-live220-20200328 provision.yml

live-cdcrec04.mconf.rnp.br: 1 OK, 0 changed, 0 unreachable, 1 failed
live-cdcrec05.mconf.rnp.br: 1 OK, 0 changed, 0 unreachable, 1 failed
live-cdcrec06.mconf.rnp.br: 1 OK, 0 changed, 0 unreachable, 1 failed
live-cdcrec07.mconf.rnp.br: 1 OK, 0 changed, 0 unreachable, 1 failed
live-cdcrec08.mconf.rnp.br: 1 OK, 0 changed, 0 unreachable, 1 failed
live-cdcrec09.mconf.rnp.br: 1 OK, 0 changed, 0 unreachable, 1 failed
live-cdcrec10.mconf.rnp.br: 1 OK, 0 changed, 0 unreachable, 1 failed
live-usp01.mconf.rnp.br: 319 OK, 139 changed, 0 unreachable, 0 failed
live-usp03.mconf.rnp.br: 319 OK, 139 changed, 0 unreachable, 0 failed
live-usp04.mconf.rnp.br: 319 OK, 139 changed, 0 unreachable, 0 failed
live-usp05.mconf.rnp.br: 319 OK, 139 changed, 0 unreachable, 0 failed
live-usp06.mconf.rnp.br: 319 OK, 139 changed, 0 unreachable, 0 failed
live-usp09.mconf.rnp.br: 318 OK, 138 changed, 0 unreachable, 0 failed
live-usp10.mconf.rnp.br: 319 OK, 139 changed, 0 unreachable, 0 failed
